p_delta,i_delta,ise,mssd_2s,mssd_full
0.02,-0.08,1923125,30277.777777777777,8419.117647058823
0.02,-0.06,2098125,50902.77777777778,14283.088235294117
0.02,-0.04,1640625,40069.444444444445,11507.35294117647
0.02,-0.02,3126875,208680.55555555556,56047.794117647056
0.02,0.0,1603125,36180.555555555555,10110.29411764706
0.02,0.02,1747500,39305.555555555555,12095.588235294117
0.02,0.04,1645625,54305.555555555555,15827.20588235294
0.02,0.06,1746250,76250.0,20716.91176470588
0.02,0.08,1482500,42222.22222222222,11727.941176470587
