elapsed_ms,rpm,current_val1,current_val2
13,0,-0.10,0.05
204,350,,
404,775,,
606,675,,
806,875,,
1012,850,-0.29,-0.10
1206,925,,
1406,950,,
1606,950,,
1806,975,,
2012,1000,-0.44,-0.44
2206,1000,,
2406,950,,
2606,1000,,
2811,975,,
3012,1025,-0.49,-0.54
3206,975,,
3406,1025,,
3606,1000,,
3806,1000,,
4012,1000,-0.54,-0.49
4206,1025,,
4406,975,,
4606,1025,,
4806,975,,
5012,1025,-0.49,-0.44
5206,1000,,
5406,975,,
5606,975,,
5805,1000,,
6012,1000,-0.49,-0.54
6206,1025,,
6406,1000,,
6606,1000,,
6806,950,,
