elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,275,,
405,750,,
606,675,,
806,875,,
1012,900,-0.49,0.05
1206,925,,
1406,975,,
1606,950,,
1806,1000,,
2012,950,-0.49,-0.44
2206,1000,,
2406,1000,,
2606,975,,
2806,1025,,
3012,975,-0.54,-0.54
3206,1000,,
3406,975,,
3606,1025,,
3806,1000,,
4012,975,-0.49,-0.49
4206,1025,,
4406,975,,
4606,975,,
4806,1000,,
5012,1025,-0.49,-0.54
5206,1000,,
5406,1025,,
5606,950,,
5810,1025,,
6012,975,-0.54,-0.44
6206,1025,,
6406,975,,
6606,1050,,
6806,950,,
