elapsed_ms,rpm,current_val1,current_val2
10,0,-0.15,0.05
204,200,,
404,950,,
605,725,,
806,900,,
1012,925,-0.15,0.00
1206,950,,
1406,950,,
1606,975,,
1806,1000,,
2012,975,-0.63,-0.44
2205,1000,,
2406,975,,
2606,1025,,
2806,1000,,
3016,1000,-0.49,-0.54
3206,1000,,
3406,1025,,
3606,975,,
3806,1025,,
4011,975,-0.54,-0.44
4205,1000,,
4406,1025,,
4606,1000,,
4806,1000,,
5011,1000,-0.54,-0.49
5206,1000,,
5406,1000,,
5606,1000,,
5806,975,,
6012,1000,-0.54,-0.49
6205,1025,,
6406,1000,,
6606,1000,,
6806,975,,
