p_delta,i_delta,ise,mssd_2s,mssd_full
-0.04,-0.08,9426875,288194.44444444444,79080.88235294117
-0.04,-0.06,2824375,96736.11111111111,26433.823529411766
-0.04,-0.04,2618750,82222.22222222222,22426.470588235294
-0.04,-0.02,2537500,67222.22222222222,18051.470588235294
-0.04,0.0,2305625,75138.88888888889,20625.0
-0.04,0.02,2536250,75972.22222222222,20514.70588235294
-0.04,0.04,2241875,66041.66666666667,17867.647058823528
-0.04,0.06,2443750,94444.44444444444,25919.117647058825
-0.04,0.08,2183750,89097.22222222222,24172.79411764706
