elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,375,,
606,1200,,
806,1050,,
1012,975,-0.24,-0.05
1206,1000,,
1406,1000,,
1605,1000,,
1806,1000,,
2012,1000,-0.59,-0.59
2206,975,,
2406,1025,,
2605,975,,
2806,1025,,
3012,975,-0.49,-0.44
3206,1025,,
3406,975,,
3606,975,,
3806,1000,,
4012,1000,-0.49,-0.54
4206,1025,,
4406,975,,
4606,1025,,
4806,975,,
5012,1000,-0.49,-0.54
5206,975,,
5406,1025,,
5605,1000,,
5806,1025,,
6011,1000,-0.49,-0.49
6206,1000,,
6406,1000,,
6605,1025,,
6806,1000,,
