p_delta,i_delta,ise,mssd_2s,mssd_full
-0.08,-0.08,3013750,71388.88888888889,19172.79411764706
-0.08,-0.06,3400000,84652.77777777778,22591.91176470588
-0.08,-0.04,3405625,102777.77777777778,27959.558823529413
-0.08,-0.02,3021250,97500.0,26139.70588235294
-0.08,0.0,3146250,99791.66666666667,26746.323529411766
-0.08,0.02,3121250,106736.11111111111,28713.235294117647
-0.08,0.04,2855000,109027.77777777778,29044.117647058825
-0.08,0.06,2960625,130277.77777777778,35312.5
-0.08,0.08,2694375,96388.88888888889,25919.117647058825
