p_delta,i_delta,ise,mssd_2s,mssd_full
0.1,-0.08,1423750,68541.66666666667,18823.529411764706
0.1,-0.06,1365625,65763.88888888889,17886.029411764706
0.1,-0.04,1541875,53611.11111111111,15900.735294117647
0.1,-0.02,1732500,100347.22222222222,27794.117647058825
0.1,0.0,1600625,68819.44444444444,19889.70588235294
0.1,0.02,1455625,60000.0,17040.441176470587
0.1,0.04,1369375,76944.44444444444,21580.882352941175
0.1,0.06,1290625,169861.11111111112,45441.17647058824
0.1,0.08,1256875,158888.88888888888,42794.117647058825
