elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,1025,,
404,925,,
605,575,,
806,975,,
1012,775,-0.15,0.05
1206,975,,
1406,950,,
1606,925,,
1806,1000,,
2012,975,-0.54,-0.54
2206,1000,,
2406,1000,,
2605,950,,
2806,1025,,
3011,1000,-0.49,-0.44
3206,975,,
3406,1000,,
3606,1025,,
3806,1000,,
4012,1000,-0.49,-0.44
4206,1000,,
4406,1000,,
4606,975,,
4806,1000,,
5014,1000,-0.49,-0.49
5206,1025,,
5406,1000,,
5606,975,,
5806,1000,,
6020,1000,-0.49,-0.44
6206,1000,,
6406,1025,,
6606,950,,
6806,1000,,
