elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,400,,
404,900,,
606,525,,
806,950,,
1012,700,-0.39,-0.34
1206,975,,
1406,850,,
1606,975,,
1806,925,,
2012,975,-0.54,-0.54
2206,975,,
2406,950,,
2606,1000,,
2806,975,,
3012,1025,-0.59,-0.49
3206,950,,
3406,1000,,
3606,1000,,
3806,975,,
4012,1000,-0.39,-0.54
4206,1000,,
4406,1000,,
4606,1000,,
4806,1000,,
5012,975,-0.54,-0.59
5206,1000,,
5406,975,,
5606,1025,,
5806,950,,
6012,1025,-0.44,-0.44
6206,975,,
6406,1025,,
6606,975,,
6806,1000,,
