p_delta,i_delta,ise,mssd_2s,mssd_full
-0.1,-0.08,4085000,100902.77777777778,26911.764705882353
-0.1,-0.06,3838750,101597.22222222222,27169.117647058825
-0.1,-0.04,3352500,85069.44444444444,22941.176470588234
-0.1,-0.02,4115000,154652.77777777778,41636.029411764706
-0.1,0.0,3478750,109444.44444444444,29283.08823529412
-0.1,0.02,3369375,116944.44444444444,31323.529411764706
-0.1,0.04,3296875,135833.33333333334,36617.64705882353
-0.1,0.06,5199375,267013.8888888889,71139.70588235294
-0.1,0.08,3368750,169027.77777777778,45404.41176470588
