p_delta,i_delta,ise
-0.05,-0.03,2371250.0
0.0,-0.03,1642500.0
0.05,-0.03,1490625.0
-0.05,0.0,2621250.0
0.0,0.0,2060000.0
0.05,0.0,1459375.0
-0.05,0.03,2838125.0
0.0,0.03,2141875.0
0.05,0.03,1306250.0
