elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,375,,
404,700,,
605,700,,
805,800,,
1012,875,-0.15,0.00
1206,925,,
1406,950,,
1606,975,,
1805,975,,
2012,975,-0.49,-0.44
2206,975,,
2406,1025,,
2606,975,,
2806,1000,,
3012,1000,-0.54,-0.49
3205,975,,
3406,1025,,
3606,1000,,
3806,1000,,
4012,1000,-0.54,-0.54
4206,1000,,
4406,1000,,
4606,975,,
4806,1025,,
5012,1025,-0.59,-0.49
5206,1000,,
5406,1025,,
5606,1000,,
5806,1000,,
6013,1000,-0.44,-0.54
6206,1025,,
6406,1000,,
6606,1000,,
6806,1000,,
