p_delta,i_delta,ise,mssd_2s,mssd_full
-0.04,-0.08,2087500,27847.222222222223,7610.294117647059
-0.04,-0.06,2363750,25972.222222222223,7279.411764705882
-0.04,-0.04,2829375,81805.55555555556,22242.647058823528
-0.04,-0.02,2242500,62500.0,17205.882352941175
-0.04,0.0,2299375,68055.55555555556,18786.764705882353
-0.04,0.02,2544375,77638.88888888889,20882.352941176472
-0.04,0.04,2633750,102986.11111111111,28069.852941176472
-0.04,0.06,2456875,82777.77777777778,23253.676470588234
-0.04,0.08,1989375,82916.66666666667,22352.941176470587
