elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,0,,
404,525,,
605,1050,,
806,1000,,
1011,925,-0.24,-0.15
1206,975,,
1405,1000,,
1606,1000,,
1806,1000,,
2011,1000,-0.54,-0.44
2206,1000,,
2406,1025,,
2606,1000,,
2805,1000,,
3011,975,-0.44,-0.49
3205,975,,
3406,1025,,
3606,1000,,
3806,1000,,
4015,975,-0.54,-0.44
4206,1025,,
4406,1000,,
4606,1025,,
4806,1000,,
5020,1000,-0.49,-0.49
5206,1025,,
5406,975,,
5606,1000,,
5806,1000,,
6012,1025,-0.49,-0.49
6206,975,,
6406,1025,,
6606,975,,
6806,1000,,
