elapsed_ms,rpm,current_val1,current_val2
12,0,-0.10,0.05
204,800,,
404,600,,
605,775,,
806,775,,
1011,825,-0.34,0.00
1205,900,,
1406,875,,
1606,950,,
1806,925,,
2011,950,-0.49,-0.44
2205,950,,
2406,975,,
2606,1000,,
2806,975,,
3011,1000,-0.49,-0.54
3205,950,,
3405,1000,,
3605,1000,,
3805,1025,,
4011,975,-0.49,-0.39
4205,1000,,
4406,1000,,
4606,975,,
4806,1000,,
5012,1000,-0.49,-0.54
5206,975,,
5406,1025,,
5606,950,,
5806,1000,,
6012,1025,-0.49,-0.44
6206,975,,
6406,1000,,
6606,975,,
6806,1000,,
