p_delta,i_delta,ise,mssd_2s,mssd_full
0.08,-0.08,1496875,61458.333333333336,17408.08823529412
0.08,-0.06,1507500,61666.666666666664,16875.0
0.08,-0.04,1381875,80625.0,22205.882352941175
0.08,-0.02,1331250,62500.0,17518.382352941175
0.08,0.0,1515000,82013.88888888889,22297.79411764706
0.08,0.02,1465625,52500.0,15606.617647058823
0.08,0.04,1508750,55763.88888888889,16985.29411764706
0.08,0.06,1230000,89722.22222222222,24301.470588235294
0.08,0.08,1412500,60208.333333333336,17518.382352941175
