elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,425,,
605,900,,
806,875,,
1012,900,-0.49,-0.34
1206,975,,
1406,975,,
1611,975,,
1806,975,,
2012,1000,-0.54,-0.63
2206,1000,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1025,-0.49,-0.54
3206,975,,
3406,1000,,
3606,975,,
3806,1000,,
4012,1000,-0.54,-0.49
4206,1000,,
4406,1000,,
4610,1000,,
4806,1000,,
5012,1000,-0.54,-0.59
5206,1025,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,975,-0.59,-0.39
6206,1000,,
6406,975,,
6606,1000,,
6806,975,,
