p_delta,i_delta,ise
-0.03,-0.03,2373125.0
0.0,-0.03,2165625.0
0.03,-0.03,1938750.0
-0.03,0.0,2173750.0
0.0,0.0,2091250.0
0.03,0.0,1795000.0
-0.03,0.03,2277500.0
0.0,0.03,2156250.0
0.03,0.03,1466875.0
