elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,175,,
404,725,,
605,650,,
806,850,,
1011,875,-0.29,-0.24
1206,900,,
1405,950,,
1606,925,,
1806,1000,,
2012,975,-0.44,-0.39
2206,1000,,
2405,975,,
2606,1000,,
2806,1000,,
3011,1000,-0.54,-0.54
3206,1000,,
3405,1000,,
3606,975,,
3806,1025,,
4012,1000,-0.54,-0.54
4206,1025,,
4405,1000,,
4606,1000,,
4806,1000,,
5011,1000,-0.54,-0.54
5206,1000,,
5405,1000,,
5606,1025,,
5806,1000,,
6012,1000,-0.54,-0.59
6206,1000,,
6405,1000,,
6606,1000,,
6806,1000,,
