elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
205,0,,
406,0,,
606,175,,
806,1150,,
1012,1325,-0.39,-0.29
1206,1225,,
1406,1075,,
1606,1000,,
1806,975,,
2011,1000,-0.54,-0.49
2206,1000,,
2405,1000,,
2606,975,,
2806,1025,,
3011,1025,-0.54,-0.39
3205,1000,,
3405,1000,,
3605,1000,,
3806,1000,,
4012,1025,-0.44,-0.44
4209,1000,,
4406,1025,,
4606,1000,,
4806,1000,,
5013,1000,-0.44,-0.39
5205,1000,,
5405,975,,
5606,1025,,
5806,1000,,
6012,1000,-0.49,-0.34
6206,1000,,
6405,975,,
6606,1000,,
6806,1000,,
