elapsed_ms,rpm,current_val1,current_val2
11,0,-0.10,0.05
204,0,,
404,0,,
605,825,,
806,1225,,
1011,1150,-0.34,-0.24
1206,1050,,
1406,975,,
1606,1000,,
1806,1000,,
2011,975,-0.49,-0.54
2206,1000,,
2405,1000,,
2606,1000,,
2806,1000,,
3012,975,-0.49,-0.49
3206,975,,
3405,1000,,
3606,1000,,
3806,1000,,
4011,1000,-0.54,-0.44
4206,1000,,
4406,1000,,
4606,975,,
4806,1000,,
5011,975,-0.49,-0.39
5206,1025,,
5405,975,,
5606,1000,,
5806,1000,,
6012,1000,-0.44,-0.49
6206,975,,
6412,1000,,
6606,975,,
6806,1025,,
