p_delta,i_delta,ise
-0.08,-0.03,3478750.0
0.0,-0.03,2142500.0
0.08,-0.03,1586250.0
-0.08,0.0,3113125.0
0.0,0.0,2252500.0
0.08,0.0,1375625.0
-0.08,0.03,2810000.0
0.0,0.03,1585625.0
0.08,0.03,1615000.0
