elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,550,,
605,1000,,
805,825,,
1012,925,-0.44,-0.39
1206,975,,
1406,950,,
1606,975,,
1805,975,,
2012,975,-0.54,-0.44
2206,1000,,
2406,1000,,
2606,1000,,
2805,1025,,
3011,1025,-0.49,-0.49
3206,1000,,
3406,975,,
3606,1025,,
3805,975,,
4011,1025,-0.49,-0.54
4206,1000,,
4405,1000,,
4605,1000,,
4805,1000,,
5012,975,-0.54,-0.44
5206,1025,,
5406,1025,,
5606,1025,,
5805,975,,
6011,1000,-0.54,-0.44
6206,975,,
6406,1025,,
6606,975,,
6813,1000,,
