elapsed_ms,rpm,current_val1,current_val2
14,0,-0.10,0.05
204,0,,
404,0,,
606,125,,
806,1150,,
1012,1375,-0.15,0.00
1206,1275,,
1406,1075,,
1607,1000,,
1806,975,,
2012,1000,-0.59,-0.59
2206,1000,,
2406,1000,,
2606,1000,,
2806,1025,,
3012,1025,-0.49,-0.49
3206,1000,,
3406,1000,,
3606,1025,,
3806,1025,,
4012,1000,-0.49,-0.44
4206,1000,,
4406,1025,,
4606,1000,,
4806,1000,,
5012,1000,-0.49,-0.39
5206,975,,
5406,1025,,
5608,1000,,
5806,975,,
6012,975,-0.49,-0.49
6206,1025,,
6406,975,,
6606,1025,,
6806,1000,,
