elapsed_ms,rpm,current_val1,current_val2
12,0,-0.15,0.00
204,0,,
404,0,,
606,25,,
806,1300,,
1012,1500,-0.44,-0.39
1206,1300,,
1406,1075,,
1606,950,,
1806,950,,
2012,975,-0.54,-0.54
2206,975,,
2406,1000,,
2606,1025,,
2806,1000,,
3014,1000,-0.59,-0.44
3206,1025,,
3406,975,,
3606,1025,,
3806,975,,
4012,1000,-0.49,-0.44
4206,1000,,
4406,1000,,
4606,1000,,
4806,1000,,
5012,1025,-0.49,-0.49
5206,975,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1000,-0.49,-0.54
6205,1000,,
6406,1000,,
6606,1000,,
6806,1000,,
