** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.00
204,0,,
404,0,,
605,0,,
806,0,,
1012,300,0.05,0.00
1205,925,,
1406,800,,
1606,1000,,
1806,925,,
2012,1025,-0.44,-0.39
2206,975,,
2406,1000,,
2605,975,,
2805,1025,,
3012,1000,-0.54,-0.54
3205,1025,,
3406,975,,
3606,1025,,
3806,1000,,
4012,1025,-0.49,-0.54
4205,1000,,
4406,1025,,
4606,975,,
4806,1025,,
5012,975,-0.49,-0.49
5205,1025,,
5406,975,,
5606,1025,,
5806,975,,
6012,1025,-0.44,-0.54
6206,1000,,
6406,1000,,
6606,1025,,
6806,950,,
7012,1025,-0.49,-0.54
7206,1000,,
7406,1000,,
7606,975,,
7806,1025,,
