elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,0,,
405,725,,
606,925,,
806,800,,
1012,950,-0.10,-0.05
1206,975,,
1406,950,,
1606,1000,,
1806,975,,
2012,1000,-0.49,-0.59
2206,1000,,
2409,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.49,-0.49
3206,1000,,
3406,1000,,
3606,1000,,
3806,1000,,
4012,1025,-0.54,-0.63
4206,1000,,
4406,1000,,
4606,1025,,
4806,1000,,
5012,975,-0.49,-0.59
5206,1000,,
5406,1000,,
5606,1025,,
5806,975,,
6012,1025,-0.63,-0.44
6206,1000,,
6406,975,,
6606,1025,,
6806,1000,,
