elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,400,,
405,875,,
606,625,,
806,925,,
1012,800,-0.20,-0.20
1206,925,,
1406,925,,
1606,950,,
1806,950,,
2012,1000,-0.54,-0.59
2206,925,,
2406,1000,,
2606,975,,
2806,1000,,
3012,1000,-0.54,-0.44
3206,1000,,
3406,950,,
3606,1000,,
3806,1025,,
4012,1000,-0.59,-0.39
4206,975,,
4406,1050,,
4606,975,,
4806,1000,,
5012,1000,-0.59,-0.54
5206,1025,,
5406,1000,,
5606,975,,
5806,1000,,
6012,975,-0.49,-0.59
6205,1000,,
6406,1000,,
6606,1000,,
6806,1000,,
