elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,0,,
404,700,,
605,900,,
806,825,,
1013,900,-0.44,-0.39
1206,950,,
1406,950,,
1606,1000,,
1811,975,,
2012,1000,-0.54,-0.49
2206,1000,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.54,-0.54
3206,1000,,
3406,975,,
3606,1025,,
3806,975,,
4012,1025,-0.54,-0.44
4206,1000,,
4406,1000,,
4606,1000,,
4810,1025,,
5012,1000,-0.49,-0.54
5206,1000,,
5406,1000,,
5606,1025,,
5806,1000,,
6012,1000,-0.59,-0.49
6206,1025,,
6406,1000,,
6606,1025,,
6806,1000,,
