p_delta,i_delta,ise,mssd_2s,mssd_full
0.02,-0.08,2082500,38958.333333333336,11047.79411764706
0.02,-0.06,1775000,36875.0,10386.029411764706
0.02,-0.04,1606250,32222.222222222223,9411.764705882353
0.02,-0.02,4496875,348958.3333333333,93455.88235294117
0.02,0.0,1829375,72500.0,20496.323529411766
0.02,0.02,2015000,79444.44444444444,22113.970588235294
0.02,0.04,1831875,54444.444444444445,14926.470588235294
0.02,0.06,1397500,41875.0,11727.941176470587
0.02,0.08,1306875,47708.333333333336,13952.20588235294
