elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.05
204,0,,
405,500,,
606,950,,
806,900,,
1012,925,-0.20,-0.29
1206,975,,
1419,975,,
1606,1000,,
1806,975,,
2012,1000,-0.54,-0.54
2205,1025,,
2406,1025,,
2606,975,,
2806,1025,,
3012,975,-0.49,-0.59
3206,1000,,
3406,1000,,
3606,1000,,
3806,1000,,
4012,975,-0.44,-0.54
4206,1000,,
4406,975,,
4606,1000,,
4806,975,,
5012,1000,-0.49,-0.44
5206,1000,,
5406,1000,,
5606,1000,,
5806,975,,
6012,1025,-0.54,-0.49
6206,975,,
6410,1000,,
6606,1000,,
6806,1000,,
