elapsed_ms,rpm,current_val1,current_val2
10,0,0.05,0.05
204,0,,
404,600,,
606,925,,
806,775,,
1012,950,-0.34,-0.49
1206,975,,
1405,950,,
1606,1025,,
1806,975,,
2012,1025,-0.59,-0.54
2211,1000,,
2406,1025,,
2606,975,,
2806,1025,,
3012,1000,-0.44,-0.44
3206,1000,,
3406,1025,,
3606,1000,,
3806,1025,,
4012,1000,-0.44,-0.54
4206,1025,,
4406,1000,,
4606,1000,,
4806,1000,,
5012,1025,-0.44,-0.54
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1000,-0.49,-0.49
6206,1025,,
6406,1000,,
6606,1000,,
6806,1025,,
