p_delta,i_delta,ise
-0.03,-0.03,2276875.0
0.0,-0.03,2061875.0
0.03,-0.03,1920625.0
-0.03,0.0,2131250.0
0.0,0.0,2229375.0
0.03,0.0,6366250.0
-0.03,0.03,2346250.0
0.0,0.03,1838125.0
0.03,0.03,2045000.0
