position_index,direction,hal_ref_bits,hal_ref_state,threshold_pulse,hal_new_bits,hal_new_state,attempts
1,1,"(0, 1, 0)",2,900,"(1, 1, 0)",3,4
2,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5
3,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4
4,1,"(1, 0, 1)",5,850,"(0, 0, 1)",0,3
5,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
6,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
7,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
8,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
9,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
10,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
11,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
12,1,"(0, 1, 0)",2,900,"(1, 1, 0)",3,4
13,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5
14,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4
15,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
16,1,"(0, 1, 0)",2,900,"(1, 1, 0)",3,4
17,1,"(1, 1, 0)",3,950,"(1, 0, 0)",4,5
18,1,"(1, 0, 0)",4,900,"(1, 0, 1)",5,4
19,1,"(1, 0, 1)",5,900,"(0, 0, 1)",0,4
20,1,"(0, 0, 1)",0,1000,"(0, 1, 1)",1,6
21,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
22,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
23,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
24,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
