p_delta,i_delta,ise
-0.02,-0.02,3065625.0
0.0,-0.02,2153125.0
0.02,-0.02,1646250.0
-0.02,0.0,2133125.0
0.0,0.0,2143125.0
0.02,0.0,1651875.0
-0.02,0.02,2172500.0
0.0,0.02,1978750.0
0.02,0.02,1770000.0
