elapsed_ms,rpm,current_val1,current_val2
13,0,-0.10,0.05
204,225,,
405,800,,
606,675,,
806,800,,
1012,900,-0.10,0.05
1206,875,,
1406,950,,
1606,975,,
1806,975,,
2012,975,-0.54,-0.34
2206,975,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.54,-0.59
3206,1000,,
3406,1000,,
3606,1000,,
3806,975,,
4012,1000,-0.49,-0.49
4206,1000,,
4406,1000,,
4606,975,,
4806,1025,,
5012,1000,-0.54,-0.49
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1000,-0.49,-0.44
6206,1025,,
6406,1000,,
6606,1025,,
6806,1000,,
