elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,575,,
605,925,,
806,925,,
1012,925,-0.49,-0.49
1206,975,,
1406,1000,,
1606,975,,
1806,975,,
2012,1000,-0.54,-0.54
2206,975,,
2406,975,,
2606,1000,,
2806,975,,
3011,1000,-0.49,-0.39
3206,1000,,
3406,1025,,
3606,975,,
3806,1025,,
4012,975,-0.54,-0.49
4206,1000,,
4406,975,,
4606,1025,,
4806,1000,,
5020,1000,-0.49,-0.44
5206,1000,,
5406,1000,,
5606,1025,,
5806,1025,,
6012,1000,-0.49,-0.59
6206,1025,,
6406,1000,,
6606,1000,,
6806,975,,
