p_delta,i_delta,ise
-0.03,-0.03,2231875.0
0.0,-0.03,2102500.0
0.03,-0.03,1626250.0
-0.03,0.0,2207500.0
0.0,0.0,1891250.0
0.03,0.0,1820000.0
-0.03,0.03,2065625.0
0.0,0.03,1529375.0
0.03,0.03,1758750.0
