elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,550,,
606,950,,
806,925,,
1012,925,-0.20,-0.10
1206,950,,
1406,1025,,
1606,975,,
1806,975,,
2012,1025,-0.44,-0.49
2205,975,,
2406,1050,,
2606,1000,,
2806,1025,,
3012,1025,-0.49,-0.44
3205,1025,,
3406,1000,,
3606,1025,,
3806,1000,,
4012,1000,-0.54,-0.49
4205,1000,,
4406,1000,,
4606,975,,
4806,1025,,
5016,1000,-0.54,-0.44
5205,1000,,
5406,1025,,
5606,975,,
5806,1000,,
6012,1025,-0.54,-0.49
6205,975,,
6406,1025,,
6606,1000,,
6806,1025,,
