elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,375,,
404,750,,
605,800,,
806,850,,
1012,950,-0.29,-0.20
1206,975,,
1406,975,,
1606,950,,
1806,1000,,
2012,1000,-0.59,-0.54
2206,1025,,
2406,975,,
2606,1025,,
2806,975,,
3016,1000,-0.49,-0.44
3206,1000,,
3406,1000,,
3606,975,,
3806,1025,,
4012,975,-0.49,-0.63
4206,1000,,
4406,1025,,
4606,1000,,
4806,1000,,
5012,1025,-0.49,-0.44
5205,1000,,
5406,1025,,
5606,1000,,
5806,1025,,
6012,975,-0.54,-0.59
6206,1000,,
6406,1000,,
6606,1000,,
6806,1000,,
