elapsed_ms,rpm,current_val1,current_val2
10,0,0.05,0.00
204,0,,
404,600,,
605,850,,
806,750,,
1012,1000,-0.29,-0.34
1206,900,,
1406,1000,,
1606,975,,
1806,1000,,
2012,975,-0.49,-0.54
2206,1025,,
2406,975,,
2606,1000,,
2806,1000,,
3012,1000,-0.54,-0.49
3206,975,,
3406,1025,,
3606,975,,
3806,1000,,
4012,975,-0.49,-0.59
4206,1025,,
4406,975,,
4606,975,,
4806,1025,,
5012,1000,-0.49,-0.54
5206,950,,
5406,1025,,
5606,975,,
5806,1000,,
6012,975,-0.54,-0.54
6206,1050,,
6406,950,,
6606,1050,,
6806,975,,
