p_delta,i_delta,ise
-0.01,-0.01,2275000.0
0.0,-0.01,1569375.0
0.01,-0.01,1673750.0
-0.01,0.0,2184375.0
0.0,0.0,1573750.0
0.01,0.0,1582500.0
-0.01,0.01,3574375.0
0.0,0.01,2146875.0
0.01,0.01,1428750.0
