elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.00
204,0,,
404,700,,
605,800,,
806,825,,
1012,950,-0.05,-0.05
1206,900,,
1406,1000,,
1606,950,,
1806,1000,,
2012,975,-0.44,-0.63
2206,1000,,
2406,1000,,
2606,975,,
2806,1000,,
3012,975,-0.54,-0.59
3206,1000,,
3409,1000,,
3606,1000,,
3806,1025,,
4012,1000,-0.49,-0.54
4206,1025,,
4407,975,,
4606,1025,,
4806,975,,
5012,1000,-0.49,-0.59
5206,1000,,
5406,1025,,
5606,975,,
5806,1025,,
6012,975,-0.49,-0.59
6206,1000,,
6406,975,,
6606,1000,,
6806,975,,
