elapsed_ms,rpm,current_val1,current_val2
9,0,0.05,0.00
204,75,,
405,850,,
606,775,,
806,825,,
1012,925,-0.15,-0.20
1206,900,,
1406,950,,
1608,1000,,
1806,1000,,
2012,1000,-0.49,-0.49
2206,975,,
2406,975,,
2607,1025,,
2806,1000,,
3012,1025,-0.44,-0.49
3206,1000,,
3406,1000,,
3606,1025,,
3806,975,,
4012,1025,-0.39,-0.49
4206,975,,
4406,1000,,
4611,1000,,
4806,1000,,
5013,975,-0.49,-0.49
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1000,-0.54,-0.54
6206,1000,,
6406,1000,,
6606,1000,,
6806,1000,,
