p_delta,i_delta,ise
-0.03,-0.03,2937500.0
0.0,-0.03,1983125.0
0.03,-0.03,1507500.0
-0.03,0.0,2279375.0
0.0,0.0,1580000.0
0.03,0.0,1463125.0
-0.03,0.03,2696250.0
0.0,0.03,1676250.0
0.03,0.03,1444375.0
