elapsed_ms,rpm,current_val1,current_val2
12,0,-0.15,0.05
204,0,,
404,0,,
605,0,,
806,900,,
1012,1375,-0.15,0.00
1206,1300,,
1406,1150,,
1605,1050,,
1806,975,,
2011,1000,-0.54,-0.39
2206,1000,,
2406,975,,
2605,1000,,
2806,1000,,
3011,1000,-0.54,-0.44
3206,1000,,
3406,1000,,
3605,1025,,
3806,975,,
4012,1000,-0.49,-0.39
4206,1000,,
4406,1000,,
4605,1025,,
4806,1000,,
5011,1000,-0.44,-0.44
5206,1000,,
5406,1000,,
5605,1025,,
5806,975,,
6012,1000,-0.49,-0.44
6206,1000,,
6406,1025,,
6606,975,,
6806,1025,,
