p_delta,i_delta,ise,mssd_2s,mssd_full
0.03,-0.08,1781875,28611.11111111111,8419.117647058823
0.03,-0.06,1535625,41736.11111111111,11966.911764705883
0.03,-0.04,1510000,34583.333333333336,9669.117647058823
0.03,-0.02,1555000,37916.666666666664,10551.470588235294
0.03,0.0,1733125,52430.555555555555,14264.70588235294
0.03,0.02,1820000,54513.88888888889,14852.941176470587
0.03,0.04,1384375,45763.88888888889,12702.20588235294
0.03,0.06,1370000,51041.666666666664,14411.764705882353
0.03,0.08,1686875,58819.444444444445,16213.235294117647
