elapsed_ms,rpm,current_val1,current_val2
13,0,-0.10,0.05
204,500,,
405,700,,
606,700,,
806,825,,
1012,875,-0.49,0.05
1206,900,,
1406,900,,
1606,950,,
1806,950,,
2011,975,-0.59,-0.44
2206,950,,
2406,1000,,
2605,975,,
2806,1000,,
3011,975,-0.59,-0.44
3206,1000,,
3406,1000,,
3606,1000,,
3806,1025,,
4012,1000,-0.59,-0.49
4206,1000,,
4405,975,,
4606,1000,,
4806,975,,
5011,1025,-0.54,-0.54
5206,975,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,975,-0.49,-0.44
6206,1000,,
6406,1025,,
6606,1000,,
6806,1000,,
