elapsed_ms,rpm,current_val1,current_val2
14,0,-0.10,0.05
204,0,,
404,350,,
605,950,,
806,825,,
1012,875,-0.49,-0.39
1206,950,,
1406,975,,
1606,950,,
1806,950,,
2011,975,-0.44,-0.49
2206,975,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.49,-0.44
3206,1000,,
3406,1000,,
3606,1025,,
3806,1000,,
4012,1000,-0.49,-0.44
4206,1000,,
4406,1000,,
4606,1025,,
4806,975,,
5012,1025,-0.44,-0.49
5206,975,,
5406,1000,,
5606,1000,,
5806,1025,,
6012,975,-0.54,-0.44
6206,1025,,
6406,1000,,
6606,975,,
6806,1025,,
