p_delta,i_delta,ise,mssd_2s,mssd_full
-0.02,-0.08,2521250,50347.22222222222,13786.764705882353
-0.02,-0.06,2486875,56388.88888888889,15533.088235294117
-0.02,-0.04,2154375,59722.22222222222,16378.676470588236
-0.02,-0.02,2598125,78055.55555555556,21102.941176470587
-0.02,0.0,2097500,69513.88888888889,18823.529411764706
-0.02,0.02,2076250,75486.11111111111,20202.20588235294
-0.02,0.04,2235625,69444.44444444444,19062.5
-0.02,0.06,1599375,45833.333333333336,12500.0
-0.02,0.08,3239375,156666.66666666666,42132.35294117647
