elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,0,,
605,575,,
806,1100,,
1012,1075,-0.20,0.00
1205,1000,,
1406,1000,,
1606,975,,
1806,1000,,
2011,1025,-0.59,-0.49
2205,1025,,
2406,975,,
2606,1000,,
2806,1025,,
3012,975,-0.49,-0.44
3205,1000,,
3406,1000,,
3606,1000,,
3805,1000,,
4012,975,-0.49,-0.44
4206,1000,,
4406,1000,,
4606,1000,,
4806,1025,,
5012,1000,-0.49,-0.44
5206,1000,,
5406,1000,,
5606,1025,,
5806,975,,
6012,1000,-0.44,-0.49
6205,975,,
6405,1025,,
6606,1000,,
6806,1025,,
