elapsed_ms,rpm,current_val1,current_val2
12,0,-0.10,0.05
204,0,,
404,625,,
606,850,,
806,775,,
1012,875,-0.15,0.05
1206,900,,
1406,950,,
1606,950,,
1806,1000,,
2012,1000,-0.49,-0.44
2206,975,,
2406,950,,
2606,1000,,
2806,975,,
3012,1000,-0.59,-0.49
3206,975,,
3406,975,,
3606,1025,,
3806,1000,,
4012,1025,-0.49,-0.49
4206,1000,,
4406,1025,,
4606,1000,,
4806,1025,,
5012,975,-0.49,-0.49
5206,1025,,
5406,1000,,
5606,1000,,
5806,1000,,
6018,1025,-0.54,-0.44
6206,975,,
6406,1025,,
6606,975,,
6806,1000,,
