elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,125,,
404,700,,
605,750,,
806,775,,
1012,875,-0.15,0.05
1205,950,,
1406,950,,
1606,950,,
1806,975,,
2012,1000,-0.49,-0.54
2211,1000,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.54,-0.49
3209,1025,,
3406,1000,,
3606,1025,,
3806,975,,
4012,1025,-0.54,-0.49
4205,1000,,
4405,1025,,
4606,975,,
4805,1000,,
5011,975,-0.49,-0.63
5206,1000,,
5405,975,,
5606,1025,,
5806,950,,
6011,1025,-0.59,-0.44
6205,1000,,
6405,1000,,
6606,1000,,
6806,1000,,
