p_delta,i_delta,ise,mssd_2s,mssd_full
0.04,-0.08,1528750,42430.555555555555,11397.058823529413
0.04,-0.06,1585625,40277.77777777778,11029.411764705883
0.04,-0.04,1784375,52291.666666666664,14669.117647058823
0.04,-0.02,1547500,42916.666666666664,12205.882352941177
0.04,0.0,1655000,41458.333333333336,12665.441176470587
0.04,0.02,1618125,45277.77777777778,13382.35294117647
0.04,0.04,1618750,55069.444444444445,14852.941176470587
0.04,0.06,1345000,52916.666666666664,16158.088235294117
0.04,0.08,1226875,55416.666666666664,15459.558823529413
