elapsed_ms,rpm,current_val1,current_val2
10,0,-0.15,0.05
204,550,,
404,750,,
605,625,,
806,875,,
1011,800,-0.44,-0.39
1206,900,,
1406,825,,
1606,975,,
1806,900,,
2011,950,-0.49,-0.49
2206,950,,
2406,950,,
2606,950,,
2806,1000,,
3011,1000,-0.54,-0.49
3206,975,,
3405,975,,
3606,1000,,
3806,975,,
4011,1050,-0.54,-0.49
4209,975,,
4406,1000,,
4606,975,,
4806,1025,,
5011,1000,-0.49,-0.59
5206,1025,,
5405,1000,,
5606,975,,
5806,1000,,
6011,1025,-0.59,-0.49
6206,975,,
6405,1000,,
6605,975,,
6806,1000,,
