p_delta,i_delta,ise,mssd_2s,mssd_full
-0.1,-0.08,5785625,194652.77777777778,52095.58823529412
-0.1,-0.06,3935625,119097.22222222222,31580.882352941175
-0.1,-0.04,3968750,127083.33333333333,33860.294117647056
-0.1,-0.02,3397500,86319.44444444444,23198.529411764706
-0.1,0.0,3177500,104583.33333333333,28033.08823529412
-0.1,0.02,3872500,148055.55555555556,39595.58823529412
-0.1,0.04,3407500,147083.33333333334,39301.470588235294
-0.1,0.06,3418750,123055.55555555556,33511.029411764706
-0.1,0.08,3185000,131597.22222222222,35202.205882352944
