elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,0,,
404,0,,
606,675,,
806,1425,,
1012,1325,-0.15,0.05
1206,1075,,
1406,950,,
1606,925,,
1806,950,,
2011,1025,-0.68,-0.63
2206,1025,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.44,-0.49
3206,1000,,
3406,1000,,
3606,975,,
3806,1025,,
4012,1000,-0.49,-0.54
4206,1000,,
4406,975,,
4605,1025,,
4806,975,,
5011,975,-0.54,-0.49
5206,1025,,
5406,1025,,
5606,1000,,
5806,1025,,
6020,950,-0.44,-0.44
6205,1025,,
6406,1000,,
6606,1000,,
6806,975,,
