elapsed_ms,rpm,current_val1,current_val2
10,0,-0.10,0.05
204,0,,
404,0,,
606,0,,
806,0,,
1012,1175,-0.20,0.00
1206,1675,,
1406,1475,,
1617,1250,,
1806,1075,,
2012,975,-0.73,-0.83
2206,1000,,
2406,975,,
2606,1000,,
2806,975,,
3012,1000,-0.49,-0.44
3206,1025,,
3406,1000,,
3605,1000,,
3806,975,,
4012,1000,-0.44,-0.54
4206,1000,,
4406,1000,,
4606,1025,,
4806,1025,,
5012,1000,-0.54,-0.44
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1025,-0.54,-0.49
6206,1000,,
6406,975,,
6608,1000,,
6806,1000,,
