elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,325,,
404,800,,
605,650,,
806,950,,
1012,850,-0.24,-0.15
1206,950,,
1406,950,,
1606,1000,,
1806,975,,
2012,1000,-0.59,-0.54
2206,975,,
2406,1000,,
2606,1000,,
2806,1000,,
3012,1000,-0.54,-0.49
3210,1000,,
3406,1025,,
3606,1000,,
3806,975,,
4012,1025,-0.49,-0.44
4206,1000,,
4406,1025,,
4606,1000,,
4806,1000,,
5012,1000,-0.59,-0.49
5206,1025,,
5406,1000,,
5606,1000,,
5806,975,,
6012,1000,-0.44,-0.39
6206,1000,,
6406,1000,,
6606,1000,,
6806,1025,,
