elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,400,,
404,775,,
604,650,,
806,900,,
1012,875,-0.29,-0.15
1206,925,,
1406,950,,
1606,975,,
1806,975,,
2012,1000,-0.54,-0.39
2206,975,,
2405,1000,,
2606,1000,,
2806,1025,,
3012,975,-0.49,-0.59
3206,1000,,
3406,975,,
3606,1000,,
3806,1025,,
4012,1000,-0.44,-0.49
4206,1000,,
4406,1000,,
4606,975,,
4806,1025,,
5012,1000,-0.49,-0.39
5206,1050,,
5406,950,,
5606,1050,,
5806,950,,
6012,1050,-0.59,-0.63
6206,1000,,
6406,1025,,
6606,1000,,
6806,1000,,
