elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,375,,
404,775,,
605,700,,
806,875,,
1012,900,-0.20,0.05
1206,950,,
1406,950,,
1606,950,,
1806,1000,,
2012,975,-0.34,-0.49
2206,1000,,
2406,1000,,
2606,975,,
2806,1000,,
3012,1000,-0.59,-0.54
3206,1025,,
3406,1000,,
3606,975,,
3805,1000,,
4012,975,-0.44,-0.44
4206,1000,,
4406,1000,,
4606,975,,
4806,1000,,
5012,1000,-0.54,-0.54
5206,1000,,
5406,1000,,
5606,1000,,
5806,1000,,
6012,1025,-0.54,-0.44
6206,1000,,
6406,1000,,
6606,1000,,
6806,1025,,
