p_delta,i_delta,ise
-0.01,-0.01,2198125.0
0.0,-0.01,1840625.0
0.01,-0.01,1820000.0
-0.01,0.0,2076875.0
0.0,0.0,1994375.0
0.01,0.0,1681250.0
-0.01,0.01,1929375.0
0.0,0.01,1608750.0
0.01,0.01,2017500.0
