elapsed_ms,rpm,current_val1,current_val2
9,0,-0.10,0.05
204,50,,
404,875,,
604,825,,
806,825,,
1012,975,-0.15,0.05
1206,975,,
1406,950,,
1605,975,,
1806,1000,,
2012,1000,-0.54,-0.54
2206,1025,,
2406,1000,,
2605,975,,
2806,1000,,
3011,1000,-0.44,-0.44
3206,1000,,
3406,1000,,
3615,1000,,
3806,1000,,
4012,1025,-0.49,-0.44
4206,975,,
4406,1000,,
4606,1025,,
4806,1000,,
5012,1000,-0.49,-0.44
5206,1000,,
5406,1000,,
5606,1000,,
5806,1025,,
6012,1000,-0.54,-0.49
6206,1000,,
6406,1000,,
6606,975,,
6805,1000,,
